rollcall,voter_id,name,party,coalition,vote
4806,133,Marcelo Crivella,PRB,0,-1
4806,130,Valdir Raupp,PMDB,1,-1
4806,129,Demóstenes Torres,DEM,0,1
4806,203,Aloysio Nunes Ferreira,PSDB,0,1
4806,126,João Ribeiro,PR,0,-1
4806,201,Paulo Bauer,PSDB,0,1
4806,200,Lindbergh Farias,PT,1,-1
4806,121,Gim,PTB,1,-1
4806,120,Kátia Abreu,DEM,0,0
4806,198,Waldemir Moka,PMDB,1,-1
4806,117,Magno Malta,PR,0,-1
4806,116,Antonio Carlos Valadares,PSB,1,-1
4806,115,Francisco Dornelles,PP,1,-1
4806,113,Maria do Carmo Alves,DEM,0,0
4806,112,Alvaro Dias,PSDB,0,1
4806,283,João Alberto Souza,PMDB,1,-1
4806,321,Ricardo Ferraço,PMDB,1,-1
4806,196,Walter Pinheiro,PT,1,-1
4806,109,Gilvam Borges,PMDB,1,-1
4806,320,Roberto Requião,PMDB,1,0
4806,194,Casildo Maldaner,PMDB,1,0
4806,193,Ciro Nogueira,PP,1,-1
4806,108,Lúcia Vânia,PSDB,0,1
4806,319,José Pimentel,PT,1,-1
4806,107,Inácio Arruda,PCdoB,1,-1
4806,189,Vanessa Grazziotin,PCdoB,1,-1
4806,106,Marisa Serrano,PSDB,0,1
4806,318,Aécio Neves,PSDB,0,1
4806,187,Armando Monteiro,PTB,1,-1
4806,317,Eunício Oliveira,PMDB,1,-1
4806,350,Itamar Franco,PPS,0,1
4806,101,Eduardo Suplicy,PT,1,-1
4806,100,Romero Jucá,PMDB,1,-1
4806,184,Blairo Maggi,PR,0,-1
4806,99,Paulo Paim,PT,1,-1
4806,98,Pedro Simon,PMDB,1,0
4806,94,Renan Calheiros,PMDB,1,-1
4806,91,José Agripino,DEM,0,1
4806,89,Epitácio Cafeteira,PTB,1,-1
4806,88,José Sarney,PMDB,1,0
4808,331,Ana Amélia,PP,1,1
4808,241,Wellington Dias,PT,1,-1
4808,179,Acir Gurgacz,PDT,0,-1
4808,238,Paulo Davim,PV,0,-1
4808,237,Eduardo Braga,PMDB,1,-1
4808,236,Jorge Viana,PT,1,-1
4808,235,Randolfe Rodrigues,PSOL,0,1
4808,234,Pedro Taques,PDT,0,1
4808,233,Humberto Costa,PT,1,-1
4808,329,Gleisi Hoffmann,PT,1,-1
4808,232,Ivo Cassol,PP,1,-1
4808,231,Luiz Henrique,PMDB,1,0
4808,230,Marta Suplicy,PT,1,-1
4808,354,Marinor Brito,PSOL,0,1
4808,353,Clésio Andrade,PR,0,-1
4808,226,Garibaldi Alves,PMDB,1,-1
4808,167,Lobão Filho,PMDB,1,-1
4808,223,Cyro Miranda,PSDB,0,0
4808,222,Ana Rita,PT,1,-1
4808,221,Anibal Diniz,PT,1,-1
4808,220,Eduardo Amorim,PSC,0,-1
4808,219,Angela Portela,PT,1,-1
4808,327,Vital do Rêgo,PMDB,1,-1
4808,217,Rodrigo Rollemberg,PSB,1,-1
4808,333,Lídice da Mata,PSB,1,-1
4808,352,Sérgio Petecão,PMN,0,-1
4808,165,Jarbas Vasconcelos,PMDB,1,1
4808,163,João Vicente Claudino,PTB,1,-1
4808,162,Mário Couto,PSDB,0,1
4808,161,João Durval,PDT,0,-1
4808,159,Jayme Campos,DEM,0,1
4808,158,Cícero Lucena,PSDB,0,1
4808,157,Fernando Collor,PTB,1,-1
4808,155,Flexa Ribeiro,PSDB,0,1
4808,151,Mozarildo Cavalcanti,PTB,1,-1
4808,147,Cristovam Buarque,PDT,0,0
